secid,tradedate,close,open,high,low,value,duration,yield,capitalization
RURPLTR,2022-12-30,100.0,100.0,100.0,100.0,,,,
RURPLTR,2023-01-03,101.41,101.41,101.41,101.41,,,,
RURPLTR,2023-01-04,101.54,101.54,101.54,101.54,,,,
RURPLTR,2023-01-05,101.62,101.62,101.62,101.62,,,,
RURPLTR,2023-01-06,101.56,101.56,101.56,101.56,,,,
RURPLTR,2023-01-09,101.4,101.4,101.4,101.4,,,,
RURPLTR,2023-01-10,101.22,101.22,101.22,101.22,,,,
RURPLTR,2023-01-11,100.8,100.8,100.8,100.8,,,,
RURPLTR,2023-01-12,100.6,100.6,100.6,100.6,,,,
RURPLTR,2023-01-13,101.66,101.66,101.66,101.66,,,,
RURPLTR,2023-01-16,102.97,102.97,102.97,102.97,,,,
RURPLTR,2023-01-17,102.12,102.12,102.12,102.12,,,,
RURPLTR,2023-01-18,102.76,102.76,102.76,102.76,,,,
RURPLTR,2023-01-19,102.0,102.0,102.0,102.0,,,,
RURPLTR,2023-01-20,101.93,101.93,101.93,101.93,,,,
RURPLTR,2023-01-23,101.97,101.97,101.97,101.97,,,,
RURPLTR,2023-01-24,101.62,101.62,101.62,101.62,,,,
RURPLTR,2023-01-25,101.57,101.57,101.57,101.57,,,,
RURPLTR,2023-01-26,101.53,101.53,101.53,101.53,,,,
RURPLTR,2023-01-27,101.38,101.38,101.38,101.38,,,,
RURPLTR,2023-01-30,101.7,101.7,101.7,101.7,,,,
RURPLTR,2023-01-31,101.37,101.37,101.37,101.37,,,,
RURPLTR,2023-02-01,100.68,100.68,100.68,100.68,,,,
RURPLTR,2023-02-02,100.61,100.61,100.61,100.61,,,,
RURPLTR,2023-02-03,100.56,100.56,100.56,100.56,,,,
RURPLTR,2023-02-06,100.57,100.57,100.57,100.57,,,,
RURPLTR,2023-02-07,100.42,100.42,100.42,100.42,,,,
RURPLTR,2023-02-08,100.76,100.76,100.76,100.76,,,,
RURPLTR,2023-02-09,101.2,101.2,101.2,101.2,,,,
RURPLTR,2023-02-10,100.76,100.76,100.76,100.76,,,,
RURPLTR,2023-02-13,101.06,101.06,101.06,101.06,,,,
RURPLTR,2023-02-14,100.45,100.45,100.45,100.45,,,,
RURPLTR,2023-02-15,100.11,100.11,100.11,100.11,,,,
RURPLTR,2023-02-16,99.38,99.38,99.38,99.38,,,,
RURPLTR,2023-02-17,99.49,99.49,99.49,99.49,,,,
RURPLTR,2023-02-20,98.24,98.24,98.24,98.24,,,,
RURPLTR,2023-02-21,98.87,98.87,98.87,98.87,,,,
RURPLTR,2023-02-22,98.93,98.93,98.93,98.93,,,,
RURPLTR,2023-02-24,99.32,99.32,99.32,99.32,,,,
RURPLTR,2023-02-27,98.83,98.83,98.83,98.83,,,,
RURPLTR,2023-02-28,98.36,98.36,98.36,98.36,,,,
RURPLTR,2023-03-01,98.75,98.75,98.75,98.75,,,,
RURPLTR,2023-03-02,98.89,98.89,98.89,98.89,,,,
RURPLTR,2023-03-03,98.9,98.9,98.9,98.9,,,,
RURPLTR,2023-03-06,98.8,98.8,98.8,98.8,,,,
RURPLTR,2023-03-07,99.03,99.03,99.03,99.03,,,,
RURPLTR,2023-03-09,99.11,99.11,99.11,99.11,,,,
RURPLTR,2023-03-10,98.55,98.55,98.55,98.55,,,,
RURPLTR,2023-03-13,98.66,98.66,98.66,98.66,,,,
RURPLTR,2023-03-14,98.82,98.82,98.82,98.82,,,,
RURPLTR,2023-03-15,99.16,99.16,99.16,99.16,,,,
RURPLTR,2023-03-16,99.83,99.83,99.83,99.83,,,,
RURPLTR,2023-03-17,99.85,99.85,99.85,99.85,,,,
RURPLTR,2023-03-20,99.66,99.66,99.66,99.66,,,,
RURPLTR,2023-03-21,99.14,99.14,99.14,99.14,,,,
RURPLTR,2023-03-22,98.73,98.73,98.73,98.73,,,,
RURPLTR,2023-03-23,97.97,97.97,97.97,97.97,,,,
RURPLTR,2023-03-24,98.42,98.42,98.42,98.42,,,,
RURPLTR,2023-03-27,98.5,98.5,98.5,98.5,,,,
RURPLTR,2023-03-28,98.32,98.32,98.32,98.32,,,,
RURPLTR,2023-03-29,98.6,98.6,98.6,98.6,,,,
RURPLTR,2023-03-30,98.72,98.72,98.72,98.72,,,,
RURPLTR,2023-03-31,98.3,98.3,98.3,98.3,,,,
RURPLTR,2023-04-03,98.28,98.28,98.28,98.28,,,,
RURPLTR,2023-04-04,98.61,98.61,98.61,98.61,,,,
RURPLTR,2023-04-05,98.4,98.4,98.4,98.4,,,,
RURPLTR,2023-04-06,98.25,98.25,98.25,98.25,,,,
RURPLTR,2023-04-07,97.74,97.74,97.74,97.74,,,,
RURPLTR,2023-04-10,96.88,96.88,96.88,96.88,,,,
RURPLTR,2023-04-11,97.49,97.49,97.49,97.49,,,,
RURPLTR,2023-04-12,97.18,97.18,97.18,97.18,,,,
RURPLTR,2023-04-13,96.93,96.93,96.93,96.93,,,,
RURPLTR,2023-04-14,96.53,96.53,96.53,96.53,,,,
RURPLTR,2023-04-17,96.22,96.22,96.22,96.22,,,,
RURPLTR,2023-04-18,96.05,96.05,96.05,96.05,,,,
RURPLTR,2023-04-19,95.9,95.9,95.9,95.9,,,,
RURPLTR,2023-04-20,95.86,95.86,95.86,95.86,,,,
RURPLTR,2023-04-21,95.77,95.77,95.77,95.77,,,,
RURPLTR,2023-04-24,95.4,95.4,95.4,95.4,,,,
RURPLTR,2023-04-25,95.89,95.89,95.89,95.89,,,,
RURPLTR,2023-04-26,96.33,96.33,96.33,96.33,,,,
RURPLTR,2023-04-27,95.89,95.89,95.89,95.89,,,,
RURPLTR,2023-04-28,95.83,95.83,95.83,95.83,,,,
RURPLTR,2023-05-02,96.35,96.35,96.35,96.35,,,,
RURPLTR,2023-05-03,95.92,95.92,95.92,95.92,,,,
RURPLTR,2023-05-04,96.38,96.38,96.38,96.38,,,,
RURPLTR,2023-05-05,96.13,96.13,96.13,96.13,,,,
RURPLTR,2023-05-08,97.73,97.73,97.73,97.73,,,,
RURPLTR,2023-05-10,97.23,97.23,97.23,97.23,,,,
RURPLTR,2023-05-11,97.07,97.07,97.07,97.07,,,,
RURPLTR,2023-05-12,98.19,98.19,98.19,98.19,,,,
RURPLTR,2023-05-15,99.04,99.04,99.04,99.04,,,,
RURPLTR,2023-05-16,98.83,98.83,98.83,98.83,,,,
RURPLTR,2023-05-17,97.85,97.85,97.85,97.85,,,,
RURPLTR,2023-05-18,96.75,96.75,96.75,96.75,,,,
RURPLTR,2023-05-19,97.43,97.43,97.43,97.43,,,,
RURPLTR,2023-05-22,96.27,96.27,96.27,96.27,,,,
RURPLTR,2023-05-23,96.23,96.23,96.23,96.23,,,,
RURPLTR,2023-05-24,96.79,96.79,96.79,96.79,,,,
RURPLTR,2023-05-25,96.51,96.51,96.51,96.51,,,,
RURPLTR,2023-05-26,95.71,95.71,95.71,95.71,,,,
RURPLTR,2023-05-29,95.48,95.48,95.48,95.48,,,,
RURPLTR,2023-05-30,95.94,95.94,95.94,95.94,,,,
RURPLTR,2023-05-31,96.27,96.27,96.27,96.27,,,,
RURPLTR,2023-06-01,95.8,95.8,95.8,95.8,,,,
RURPLTR,2023-06-02,95.92,95.92,95.92,95.92,,,,
RURPLTR,2023-06-05,96.49,96.49,96.49,96.49,,,,
RURPLTR,2023-06-06,96.3,96.3,96.3,96.3,,,,
RURPLTR,2023-06-07,96.11,96.11,96.11,96.11,,,,
RURPLTR,2023-06-08,96.2,96.2,96.2,96.2,,,,
RURPLTR,2023-06-09,96.74,96.74,96.74,96.74,,,,
RURPLTR,2023-06-13,96.91,96.91,96.91,96.91,,,,
RURPLTR,2023-06-14,96.89,96.89,96.89,96.89,,,,
RURPLTR,2023-06-15,95.91,95.91,95.91,95.91,,,,
RURPLTR,2023-06-16,96.11,96.11,96.11,96.11,,,,
RURPLTR,2023-06-19,96.72,96.72,96.72,96.72,,,,
RURPLTR,2023-06-20,96.25,96.25,96.25,96.25,,,,
RURPLTR,2023-06-21,95.5,95.5,95.5,95.5,,,,
RURPLTR,2023-06-22,95.43,95.43,95.43,95.43,,,,
RURPLTR,2023-06-23,96.2,96.2,96.2,96.2,,,,
RURPLTR,2023-06-26,96.28,96.28,96.28,96.28,,,,
RURPLTR,2023-06-27,96.24,96.24,96.24,96.24,,,,
RURPLTR,2023-06-28,95.38,95.38,95.38,95.38,,,,
RURPLTR,2023-06-29,96.12,96.12,96.12,96.12,,,,
RURPLTR,2023-06-30,96.38,96.38,96.38,96.38,,,,
RURPLTR,2023-07-03,95.38,95.38,95.38,95.38,,,,
RURPLTR,2023-07-04,95.13,95.13,95.13,95.13,,,,
RURPLTR,2023-07-05,94.76,94.76,94.76,94.76,,,,
RURPLTR,2023-07-06,95.08,95.08,95.08,95.08,,,,
RURPLTR,2023-07-07,94.05,94.05,94.05,94.05,,,,
RURPLTR,2023-07-10,94.09,94.09,94.09,94.09,,,,
RURPLTR,2023-07-11,93.66,93.66,93.66,93.66,,,,
RURPLTR,2023-07-12,94.01,94.01,94.01,94.01,,,,
RURPLTR,2023-07-13,94.3,94.3,94.3,94.3,,,,
RURPLTR,2023-07-14,94.06,94.06,94.06,94.06,,,,
RURPLTR,2023-07-17,94.58,94.58,94.58,94.58,,,,
RURPLTR,2023-07-18,94.18,94.18,94.18,94.18,,,,
RURPLTR,2023-07-19,94.6,94.6,94.6,94.6,,,,
RURPLTR,2023-07-20,94.19,94.19,94.19,94.19,,,,
RURPLTR,2023-07-21,94.28,94.28,94.28,94.28,,,,
RURPLTR,2023-07-24,93.98,93.98,93.98,93.98,,,,
RURPLTR,2023-07-25,93.6,93.6,93.6,93.6,,,,
RURPLTR,2023-07-26,93.53,93.53,93.53,93.53,,,,
RURPLTR,2023-07-27,93.61,93.61,93.61,93.61,,,,
RURPLTR,2023-07-28,94.65,94.65,94.65,94.65,,,,
RURPLTR,2023-07-31,95.44,95.44,95.44,95.44,,,,
RURPLTR,2023-08-01,95.04,95.04,95.04,95.04,,,,
RURPLTR,2023-08-02,95.32,95.32,95.32,95.32,,,,
RURPLTR,2023-08-03,96.32,96.32,96.32,96.32,,,,
RURPLTR,2023-08-04,96.06,96.06,96.06,96.06,,,,
RURPLTR,2023-08-07,96.65,96.65,96.65,96.65,,,,
RURPLTR,2023-08-08,95.92,95.92,95.92,95.92,,,,
RURPLTR,2023-08-09,96.97,96.97,96.97,96.97,,,,
RURPLTR,2023-08-10,96.26,96.26,96.26,96.26,,,,
RURPLTR,2023-08-11,96.12,96.12,96.12,96.12,,,,
RURPLTR,2023-08-14,96.52,96.52,96.52,96.52,,,,
RURPLTR,2023-08-15,93.24,93.24,93.24,93.24,,,,
RURPLTR,2023-08-16,93.67,93.67,93.67,93.67,,,,
RURPLTR,2023-08-17,92.06,92.06,92.06,92.06,,,,
RURPLTR,2023-08-18,93.34,93.34,93.34,93.34,,,,
RURPLTR,2023-08-21,95.49,95.49,95.49,95.49,,,,
RURPLTR,2023-08-22,95.64,95.64,95.64,95.64,,,,
RURPLTR,2023-08-23,95.83,95.83,95.83,95.83,,,,
RURPLTR,2023-08-24,96.07,96.07,96.07,96.07,,,,
RURPLTR,2023-08-25,96.75,96.75,96.75,96.75,,,,
RURPLTR,2023-08-28,97.33,97.33,97.33,97.33,,,,
RURPLTR,2023-08-29,96.73,96.73,96.73,96.73,,,,
RURPLTR,2023-08-30,97.31,97.31,97.31,97.31,,,,
RURPLTR,2023-08-31,96.96,96.96,96.96,96.96,,,,
RURPLTR,2023-09-01,96.65,96.65,96.65,96.65,,,,
RURPLTR,2023-09-04,97.34,97.34,97.34,97.34,,,,
RURPLTR,2023-09-05,97.79,97.79,97.79,97.79,,,,
RURPLTR,2023-09-06,97.35,97.35,97.35,97.35,,,,
RURPLTR,2023-09-07,97.33,97.33,97.33,97.33,,,,
RURPLTR,2023-09-08,97.08,97.08,97.08,97.08,,,,
RURPLTR,2023-09-11,95.97,95.97,95.97,95.97,,,,
RURPLTR,2023-09-12,96.17,96.17,96.17,96.17,,,,
RURPLTR,2023-09-13,97.57,97.57,97.57,97.57,,,,
RURPLTR,2023-09-14,97.33,97.33,97.33,97.33,,,,
RURPLTR,2023-09-15,97.43,97.43,97.43,97.43,,,,
RURPLTR,2023-09-18,97.61,97.61,97.61,97.61,,,,
RURPLTR,2023-09-19,97.9,97.9,97.9,97.9,,,,
RURPLTR,2023-09-20,98.41,98.41,98.41,98.41,,,,
RURPLTR,2023-09-21,98.37,98.37,98.37,98.37,,,,
